Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82691;01/12/2017;0000;;35.2;;;5.5;27.68;65;4;
82691;01/12/2017;1200;0;;23.2;;;;;;
82691;02/12/2017;0000;;34.9;;;8.2;27.82;70;3;
82691;02/12/2017;1200;0;;23.8;;;;;;
82691;03/12/2017;0000;;35.2;;;6.1;27.92;65;3;
82691;03/12/2017;1200;0;;22.8;;;;;;
82691;04/12/2017;0000;;35.2;;;9.8;28.24;64;3;
82691;04/12/2017;1200;0;;23.6;;;;;;
82691;05/12/2017;0000;;35.9;;;8.9;28.44;67;4;
82691;05/12/2017;1200;0;;23;;;;;;
82691;06/12/2017;0000;;37.1;;;7.5;28.88;63;2;
82691;06/12/2017;1200;0;;22;;;;;;
82691;07/12/2017;0000;;36.9;;;7.4;28.42;63;3;
82691;07/12/2017;1200;0;;22.3;;;;;;
82691;08/12/2017;0000;;35.9;;;6.5;27.7;73;4;
82691;08/12/2017;1200;0;;22.6;;;;;;
82691;09/12/2017;0000;;35.3;;;5.3;28.2;69;2;
82691;09/12/2017;1200;0;;23.8;;;;;;
82691;10/12/2017;0000;;35.4;;;5.3;27.88;75;4;
82691;10/12/2017;1200;0;;23.6;;;;;;
82691;11/12/2017;0000;;35.7;;;4.3;28.06;67;3;
82691;11/12/2017;1200;3.9;;21.6;;;;;;
82691;12/12/2017;0000;;36.2;;;5.2;28.76;59;4;
82691;12/12/2017;1200;0;;22.2;;;;;;
82691;13/12/2017;0000;;34.9;;;6.5;27.78;69;3;
82691;13/12/2017;1200;0;;23.8;;;;;;
82691;14/12/2017;0000;;34.9;;;5.2;27.66;67;4;
82691;14/12/2017;1200;0;;23.4;;;;;;
82691;15/12/2017;0000;;34.9;;;3.9;27.74;67;4;
82691;15/12/2017;1200;0;;23;;;;;;
82691;16/12/2017;0000;;34.5;;;3.7;27.9;65;4;
82691;16/12/2017;1200;0;;23.6;;;;;;
82691;17/12/2017;0000;;35.1;;;4.5;28.28;63;4;
82691;17/12/2017;1200;0;;23.6;;;;;;
82691;18/12/2017;0000;;35.2;;;5.7;28.36;66;3;
82691;18/12/2017;1200;0;;24.2;;;;;;
82691;19/12/2017;0000;;33.9;;;5.4;28.18;68;3;
82691;19/12/2017;1200;0;;24;;;;;;
82691;20/12/2017;0000;;32.7;;;4.7;27.74;68;3;
82691;20/12/2017;1200;0;;24.2;;;;;;
82691;21/12/2017;0000;;34.1;;;8;27.98;69;3;
82691;21/12/2017;1200;0;;24.4;;;;;;
82691;22/12/2017;0000;;31.9;;;7;27.4;69;4;
82691;22/12/2017;1200;0;;24.4;;;;;;
82691;23/12/2017;0000;;35.5;;;6.1;28.66;65;4;
82691;23/12/2017;1200;0;;23.8;;;;;;
82691;24/12/2017;0000;;35.1;;;7.3;28.22;67;4;
82691;24/12/2017;1200;0;;23;;;;;;
82691;25/12/2017;0000;;36.1;;;7.7;28.68;68;3;
82691;25/12/2017;1200;0;;23.6;;;;;;
82691;26/12/2017;0000;;35.4;;;6.5;28.24;71;4;
82691;26/12/2017;1200;0;;24.2;;;;;;
82691;27/12/2017;0000;;36.1;;;6.3;28.68;69;3;
82691;27/12/2017;1200;0;;24.4;;;;;;
82691;28/12/2017;0000;;36.3;;;3.9;29.14;57;2;
82691;28/12/2017;1200;0;;23.2;;;;;;
82691;29/12/2017;0000;;36.6;;;4.3;29.12;53;3;
82691;29/12/2017;1200;0;;22.5;;;;;;
82691;30/12/2017;0000;;36.3;;;9.2;29.24;53;3;
82691;30/12/2017;1200;0;;23.2;;;;;;
82691;31/12/2017;0000;;36.4;;;9;29.14;66;3;
82691;31/12/2017;1200;0;;23.7;;;;;;
82691;01/02/2018;0000;;35.1;;;3.5;28.54;68;4;
82691;01/02/2018;1200;0;;23.2;;;;;;
82691;02/02/2018;0000;;34.3;;;7.5;27.64;83;3;
82691;02/02/2018;1200;0;;23.8;;;;;;
82691;03/02/2018;0000;;35.4;;;3.8;28.72;62;3;
82691;03/02/2018;1200;2.4;;22.4;;;;;;
82691;04/02/2018;0000;;35;;;4.5;28.52;66;2;
