Day of Din Instante,Month of Din Instante,Val Geraenergiaconmwmed
1,October 2019,10.64175
2,October 2019,8.21704166
3,October 2019,9.32433333
4,October 2019,9.04679166
5,October 2019,11.25008333
6,October 2019,10.161
7,October 2019,9.23820833
8,October 2019,11.13245833
9,October 2019,9.846375
10,October 2019,10.073
11,October 2019,8.92716666
12,October 2019,10.98995833
13,October 2019,9.76325
14,October 2019,8.30045833
15,October 2019,10.63933333
16,October 2019,10.48075
17,October 2019,9.98316666
1,September 2019,9.305
2,September 2019,7.534
3,September 2019,0
4,September 2019,0
5,September 2019,0
6,September 2019,9.1
7,September 2019,8.339
8,September 2019,9.564
9,September 2019,8.176
10,September 2019,9.189
11,September 2019,11.167
12,September 2019,6.75
13,September 2019,9.802
14,September 2019,10.432
15,September 2019,10.384
16,September 2019,11.716
17,September 2019,8.626
18,September 2019,9.408
19,September 2019,10.585
20,September 2019,10.925
21,September 2019,8.009
22,September 2019,10.514
23,September 2019,9.555
24,September 2019,9.761
25,September 2019,11.198
26,September 2019,10.345
27,September 2019,10.82
28,September 2019,11.134
29,September 2019,10.949
30,September 2019,9.793
1,August 2019,9.070125
2,August 2019,7.354625
3,August 2019,10.50379166
4,August 2019,9.11275
5,August 2019,5.29233333
6,August 2019,5.21975
7,August 2019,6.003
8,August 2019,10.69304166
9,August 2019,10.979625
10,August 2019,10.27320833
11,August 2019,10.471875
12,August 2019,10.57554166
13,August 2019,9.19954166
14,August 2019,7.01758333
15,August 2019,7.80079166
16,August 2019,6.50554166
17,August 2019,7.76879166
18,August 2019,7.888125
19,August 2019,8.92266666
20,August 2019,10.106625
21,August 2019,10.227
22,August 2019,10.15929166
23,August 2019,8.55416666
24,August 2019,8.825875
25,August 2019,7.29616666
26,August 2019,10.01179166
27,August 2019,7.52891666
28,August 2019,9.78329166
29,August 2019,10.30404166
30,August 2019,9.6025
31,August 2019,9.115625
1,July 2019,5.40083333
2,July 2019,9.85870833
3,July 2019,6.13195833
4,July 2019,8.82920833
5,July 2019,8.93275
6,July 2019,9.642
7,July 2019,9.216
8,July 2019,8.15329166
9,July 2019,8.70054166
10,July 2019,6.16504166
11,July 2019,7.58545833
12,July 2019,5.147625
13,July 2019,5.56783333
14,July 2019,5.824875
15,July 2019,4.969125
16,July 2019,8.28283333
17,July 2019,9.21308333
18,July 2019,9.25795833
19,July 2019,6.99320833
20,July 2019,4.72295833
21,July 2019,5.254125
22,July 2019,5.730125
23,July 2019,7.22545833
24,July 2019,7.99254166
25,July 2019,6.43970833
26,July 2019,6.05595833
27,July 2019,5.123
28,July 2019,5.81320833
29,July 2019,10.38258333
30,July 2019,10.13479166
31,July 2019,5.00008333
1,June 2019,9.15325
2,June 2019,9.31954166
3,June 2019,9.406625
4,June 2019,9.42075
5,June 2019,9.94733333
6,June 2019,10.05320833
7,June 2019,10.11641666
8,June 2019,7.9085
9,June 2019,7.67395833
10,June 2019,6.380625
11,June 2019,5.68154166
12,June 2019,5.352375
13,June 2019,5.464875
14,June 2019,4.46225
15,June 2019,4.69020833
16,June 2019,4.9645
17,June 2019,4.51470833
18,June 2019,7.09733333
19,June 2019,9.75858333
20,June 2019,9.15154166
21,June 2019,9.048625
22,June 2019,8.05504166
23,June 2019,9.61683333
24,June 2019,9.74279166
25,June 2019,9.7075
26,June 2019,8.85
27,June 2019,7.61266666
28,June 2019,8.75433333
29,June 2019,2.97958333
30,June 2019,7.086875
1,May 2019,7.58879166
2,May 2019,10.3215
3,May 2019,10.90495833
4,May 2019,10.89025
5,May 2019,9.24825
6,May 2019,6.64179166
7,May 2019,5.93454166
8,May 2019,5.72558333
9,May 2019,8.11058333
10,May 2019,8.87416666
11,May 2019,6.773
12,May 2019,8.19958333
13,May 2019,7.82533333
14,May 2019,9.26933333
15,May 2019,9.20108333
16,May 2019,9.412
17,May 2019,8.85179166
18,May 2019,10.13795833
19,May 2019,7.962125
20,May 2019,6.87420833
21,May 2019,5.85375
22,May 2019,9.78825
23,May 2019,9.63729166
24,May 2019,9.32208333
25,May 2019,8.67695833
26,May 2019,8.39975
27,May 2019,9.06195833
28,May 2019,9.45025
29,May 2019,4.39620833
30,May 2019,7.40341666
31,May 2019,8.067875
1,April 2019,4.07166666
2,April 2019,9.150375
3,April 2019,6.49620833
4,April 2019,7.68716666
5,April 2019,7.04604166
6,April 2019,6.600125
7,April 2019,7.926375
8,April 2019,9.329375
9,April 2019,10.23395833
10,April 2019,10.173625
11,April 2019,6.85991666
12,April 2019,6.78904166
13,April 2019,9.56445833
14,April 2019,8.680625
15,April 2019,8.71345833
16,April 2019,10.09925
17,April 2019,9.05908333
18,April 2019,9.060375
19,April 2019,8.02429166
20,April 2019,5.72595833
21,April 2019,9.52425
22,April 2019,9.59
23,April 2019,9.78608333
24,April 2019,6.2235
25,April 2019,3.843125
26,April 2019,9.61545833
27,April 2019,6.71616666
28,April 2019,9.77625
29,April 2019,7.476125
30,April 2019,5.67033333
1,March 2019,6.10691666
2,March 2019,5.29979166
3,March 2019,6.18125
4,March 2019,4.78991666
5,March 2019,8.49383333
6,March 2019,6.27808333
7,March 2019,7.494375
8,March 2019,9.82254166
9,March 2019,7.65575
10,March 2019,9.16995833
11,March 2019,10.42795833
12,March 2019,7.99958333
13,March 2019,3.23595833
14,March 2019,4.97145833
15,March 2019,4.15108333
16,March 2019,9.073875
17,March 2019,7.73454166
18,March 2019,7.75858333
19,March 2019,8.777875
20,March 2019,7.91770833
21,March 2019,3.481625
22,March 2019,9.70508333
23,March 2019,5.121125
24,March 2019,9.12520833
25,March 2019,8.74570833
26,March 2019,9.87933333
27,March 2019,7.841375
28,March 2019,9.50604166
29,March 2019,7.00329166
30,March 2019,5.48508333
31,March 2019,5.35545833
1,February 2019,0
2,February 2019,0
3,February 2019,0
4,February 2019,0
5,February 2019,0
6,February 2019,5.38204166
7,February 2019,8.53933333
8,February 2019,9.35683333
9,February 2019,8.616375
10,February 2019,8.33108333
11,February 2019,8.78029166
12,February 2019,6.74641666
13,February 2019,4.08729166
14,February 2019,6.75225
15,February 2019,7.57620833
16,February 2019,4.98429166
17,February 2019,4.795375
18,February 2019,7.86204166
19,February 2019,8.46758333
20,February 2019,6.87070833
21,February 2019,8.948125
22,February 2019,6.44533333
23,February 2019,3.47604166
24,February 2019,5.72091666
25,February 2019,6.53175
26,February 2019,7.5865
27,February 2019,7.87445833
28,February 2019,7.491375
1,January 2019,10.056125
2,January 2019,9.87795833
3,January 2019,9.663625
4,January 2019,8.74275
5,January 2019,7.95020833
6,January 2019,5.72833333
7,January 2019,6.66966666
8,January 2019,7.28145833
9,January 2019,6.49029166
10,January 2019,7.1065
11,January 2019,10.34225
12,January 2019,9.76095833
13,January 2019,10.23733333
14,January 2019,6.999
15,January 2019,9.86529166
16,January 2019,10.13754166
17,January 2019,8.65554166
18,January 2019,7.152375
19,January 2019,9.51108333
20,January 2019,9.5545
21,January 2019,9.114375
22,January 2019,10.49408333
23,January 2019,8.53245833
24,January 2019,8.35083333
25,January 2019,8.94045833
26,January 2019,7.06683333
27,January 2019,9.41370833
28,January 2019,10.97745833
29,January 2019,9.32979166
30,January 2019,10.68058333
31,January 2019,0.205
1,December 2018,7.764875
2,December 2018,8.37070833
3,December 2018,8.09358333
4,December 2018,7.259125
5,December 2018,6.5925
6,December 2018,8.513375
7,December 2018,9.11120833
8,December 2018,9.80520833
9,December 2018,4.90558333
10,December 2018,6.51054166
11,December 2018,9.13466666
12,December 2018,10.95633333
13,December 2018,10.09529166
14,December 2018,10.18929166
15,December 2018,10.92954166
16,December 2018,8.36133333
17,December 2018,3.80033333
18,December 2018,10.49625
19,December 2018,11.6065
20,December 2018,10.01820833
21,December 2018,9.96758333
22,December 2018,8.98595833
23,December 2018,6.610625
24,December 2018,5.52370833
25,December 2018,9.01016666
26,December 2018,9.73729166
27,December 2018,11.38525
28,December 2018,11.35129166
29,December 2018,9.55108333
30,December 2018,11.10525
31,December 2018,10.06933333
1,November 2018,9.171
2,November 2018,10.71191666
3,November 2018,9.88695833
4,November 2018,8.98965217
5,November 2018,10.52054166
6,November 2018,8.498625
7,November 2018,8.197375
8,November 2018,8.70183333
9,November 2018,10.21579166
10,November 2018,10.23754166
11,November 2018,10.20425
12,November 2018,9.48591666
13,November 2018,10.157375
14,November 2018,8.88854166
15,November 2018,10.25183333
16,November 2018,10.115625
17,November 2018,10.67695833
18,November 2018,10.47625
19,November 2018,9.12929166
20,November 2018,8.47341666
21,November 2018,10.34083333
22,November 2018,9.19391666
23,November 2018,7.98225
24,November 2018,7.73166666
25,November 2018,8.0295
26,November 2018,7.097
27,November 2018,9.22383333
28,November 2018,8.98166666
29,November 2018,7.98320833
30,November 2018,9.37141666
1,October 2018,10.50408333
2,October 2018,10.51216666
3,October 2018,9.30079166
4,October 2018,7.888875
5,October 2018,5.33383333
6,October 2018,5.609
7,October 2018,6.33133333
8,October 2018,6.48970833
9,October 2018,10.3005
10,October 2018,9.18133333
11,October 2018,10.662375
12,October 2018,10.58670833
13,October 2018,8.11354166
14,October 2018,8.75629166
15,October 2018,1.42408333
16,October 2018,8.10395833
17,October 2018,7.146625
18,October 2018,8.817375
19,October 2018,9.82216666
20,October 2018,10.77483333
21,October 2018,8.84575
22,October 2018,8.71345833
23,October 2018,7.95470833
24,October 2018,9.482375
25,October 2018,10.16491666
26,October 2018,9.63795833
27,October 2018,10.59395833
28,October 2018,11.09204166
29,October 2018,9.11975
30,October 2018,9.077375
31,October 2018,9.95308333
1,September 2018,9.32745833
2,September 2018,8.78008333
3,September 2018,10.762
4,September 2018,10.68241666
5,September 2018,8.79995833
6,September 2018,8.45479166
7,September 2018,8.09808333
8,September 2018,10.99595833
9,September 2018,10.871125
10,September 2018,8.58158333
11,September 2018,7.18233333
12,September 2018,10.575875
13,September 2018,10.62191666
14,September 2018,9.80133333
15,September 2018,9.80291666
16,September 2018,8.37529166
17,September 2018,8.66829166
18,September 2018,8.81483333
19,September 2018,6.75775
20,September 2018,9.36666666
21,September 2018,9.86204166
22,September 2018,9.86858333
23,September 2018,10.62695833
24,September 2018,9.37791666
25,September 2018,9.20654166
26,September 2018,10.34545833
27,September 2018,8.59320833
28,September 2018,10.29595833
29,September 2018,10.12266666
30,September 2018,9.97070833
1,August 2018,6.2455
2,August 2018,7.51633333
3,August 2018,9.89625
4,August 2018,9.29616666
5,August 2018,8.155125
6,August 2018,8.48683333
7,August 2018,9.19625
8,August 2018,9.64895833
9,August 2018,8.27795833
10,August 2018,8.15575
11,August 2018,9.72541666
12,August 2018,8.50704166
13,August 2018,8.617
14,August 2018,8.40783333
15,August 2018,9.67179166
16,August 2018,7.91
17,August 2018,9.88875
18,August 2018,8.82066666
19,August 2018,9.20308333
20,August 2018,9.23779166
21,August 2018,8.96320833
22,August 2018,8.76333333
23,August 2018,9.83575
24,August 2018,10.31645833
25,August 2018,9.33483333
26,August 2018,10.85716666
27,August 2018,9.35441666
28,August 2018,7.76633333
29,August 2018,8.994
30,August 2018,10.08825
31,August 2018,10.39879166
1,July 2018,8.17220833
2,July 2018,9.66504166
3,July 2018,8.139125
4,July 2018,8.911625
5,July 2018,9.523875
6,July 2018,4.20366666
7,July 2018,3.02383333
8,July 2018,8.82145833
9,July 2018,8.40345833
10,July 2018,3.91058333
11,July 2018,5.30275
12,July 2018,5.05416666
13,July 2018,6.48770833
14,July 2018,9.21695833
15,July 2018,8.96429166
16,July 2018,8.35808333
17,July 2018,5.98966666
18,July 2018,3.632125
19,July 2018,10.162875
20,July 2018,7.228875
21,July 2018,6.60008333
22,July 2018,7.82645833
23,July 2018,9.99883333
24,July 2018,9.49791666
25,July 2018,8.19129166
26,July 2018,7.981875
27,July 2018,5.61083333
28,July 2018,7.375
29,July 2018,7.65533333
30,July 2018,8.92779166
31,July 2018,8.44004166
1,June 2018,7.65170833
2,June 2018,8.298375
3,June 2018,3.541125
4,June 2018,5.892625
5,June 2018,9.13625
6,June 2018,8.846125
7,June 2018,4.36366666
8,June 2018,5.51391666
9,June 2018,7.90145833
10,June 2018,8.86833333
11,June 2018,8.453125
12,June 2018,8.47525
