Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83288;01/01/2018;0000;;38.6;;9.6;30.12;57.5;0.8574;
83288;01/01/2018;1200;0;;24.7;;;;;
83288;02/01/2018;0000;;31.5;;0.1;27.04;74.75;0.51444;
83288;02/01/2018;1200;0;;25.2;;;;;
83288;03/01/2018;0000;;31.9;;1.2;26.44;78;0.34296;
83288;03/01/2018;1200;2.2;;23.6;;;;;
83288;04/01/2018;0000;;34.1;;5;27.4;67;0.8574;
83288;04/01/2018;1200;0;;23.2;;;;;
83288;05/01/2018;0000;;33.3;;7.4;26.16;81;0.51444;
83288;05/01/2018;1200;28.6;;21.8;;;;;
83288;06/01/2018;0000;;32.9;;8.1;26.28;74.25;0.8574;
83288;06/01/2018;1200;1.4;;22.4;;;;;
83288;07/01/2018;0000;;33.9;;8.7;26.72;63;0.51444;
83288;07/01/2018;1200;0;;20.8;;;;;
83288;08/01/2018;0000;;34.1;;8.9;27.92;50;0.8574;
83288;08/01/2018;1200;0;;22.2;;;;;
83288;09/01/2018;0000;;35.6;;10.9;29;46;1.2861;
83288;09/01/2018;1200;0;;22.5;;;;;
83288;10/01/2018;0000;;35.1;;8.3;26.56;64.75;1.02888;
83288;10/01/2018;1200;0;;22.7;;;;;
83288;11/01/2018;0000;;34.3;;11.6;27.48;54;1.37184;
83288;11/01/2018;1200;7;;21.6;;;;;
83288;12/01/2018;0000;;35.3;;11;28.6;54;0.51444;
83288;12/01/2018;1200;0;;21.8;;;;;
83288;13/01/2018;0000;;35.7;;9.4;27.92;65.75;0.68592;
83288;13/01/2018;1200;0;;23.4;;;;;
83288;14/01/2018;0000;;32.2;;7.8;27.3;48.75;0.68592;
83288;14/01/2018;1200;0.9;;22.2;;;;;
83288;15/01/2018;0000;;37.5;;9.2;30.22;55.25;0.68592;
83288;15/01/2018;1200;0;;23.8;;;;;
83288;16/01/2018;0000;;36.9;;11.5;29.28;40;1.02888;
83288;16/01/2018;1200;0;;23;;;;;
83288;17/01/2018;0000;;35.5;;11;28.7;44.5;1.02888;
83288;17/01/2018;1200;0;;22.2;;;;;
83288;18/01/2018;0000;;36.3;;8.8;29.12;46.5;1.02888;
83288;18/01/2018;1200;0;;22;;;;;
83288;19/01/2018;0000;;35.9;;7.8;30.08;45.5;1.20036;
