Dia de Din Instante;Mês de Din Instante;Val Geraenergiaconmwmed
1;setembro de 2019;13,40175
2;setembro de 2019;13,23254166
3;setembro de 2019;13,63370833
4;setembro de 2019;13,594125
5;setembro de 2019;13,97033333
6;setembro de 2019;9,62908333
7;setembro de 2019;10,77925
8;setembro de 2019;11,99583333
9;setembro de 2019;12,92895833
10;setembro de 2019;12,126
11;setembro de 2019;14,14454166
12;setembro de 2019;13,69554166
1;agosto de 2019;12,74229166
2;agosto de 2019;13,14241666
3;agosto de 2019;13,16925
4;agosto de 2019;8,7705
5;agosto de 2019;8,390375
6;agosto de 2019;13,021125
7;agosto de 2019;13,99441666
8;agosto de 2019;13,659125
9;agosto de 2019;12,450375
10;agosto de 2019;10,25029166
11;agosto de 2019;12,24245833
12;agosto de 2019;9,616875
13;agosto de 2019;10,68491666
14;agosto de 2019;12,58691666
15;agosto de 2019;12,82408333
16;agosto de 2019;12,45691666
17;agosto de 2019;8,72925
18;agosto de 2019;10,35645833
19;agosto de 2019;11,14483333
20;agosto de 2019;10,97483333
21;agosto de 2019;11,84291666
22;agosto de 2019;10,71125
23;agosto de 2019;11,94320833
24;agosto de 2019;11,27175
25;agosto de 2019;10,85270833
26;agosto de 2019;11,93795833
27;agosto de 2019;13,071125
28;agosto de 2019;11,91004166
29;agosto de 2019;13,21745833
30;agosto de 2019;12,73533333
31;agosto de 2019;13,50375
1;julho de 2019;12,24633333
2;julho de 2019;12,25754166
3;julho de 2019;12,10383333
4;julho de 2019;12,0315
5;julho de 2019;10,073625
6;julho de 2019;11,62941666
7;julho de 2019;8,86745833
8;julho de 2019;10,419375
9;julho de 2019;10,79966666
10;julho de 2019;12,74166666
11;julho de 2019;12,60366666
12;julho de 2019;12,72008333
13;julho de 2019;12,66791666
14;julho de 2019;12,72108333
15;julho de 2019;12,65770833
16;julho de 2019;12,622875
17;julho de 2019;12,41458333
18;julho de 2019;12,633375
19;julho de 2019;12,98883333
20;julho de 2019;12,407875
21;julho de 2019;10,49616666
22;julho de 2019;9,253125
23;julho de 2019;10,52391666
24;julho de 2019;10,326125
25;julho de 2019;11,89533333
26;julho de 2019;13,23854166
27;julho de 2019;7,10770833
28;julho de 2019;6,84270833
29;julho de 2019;11,80241666
30;julho de 2019;11,062875
31;julho de 2019;11,641875
1;junho de 2019;11,193875
2;junho de 2019;11,59670833
3;junho de 2019;12,04133333
4;junho de 2019;11,395
5;junho de 2019;10,871375
6;junho de 2019;8,426875
7;junho de 2019;11,09020833
8;junho de 2019;12,24095833
