Dia de Din Instante;Mês de Din Instante;Val Geraenergiaconmwmed
1;setembro de 2019;1,08920833
2;setembro de 2019;1,016125
3;setembro de 2019;1,03691666
4;setembro de 2019;1,02191666
5;setembro de 2019;1,00358333
6;setembro de 2019;1,02370833
7;setembro de 2019;0,98183333
8;setembro de 2019;1,05254166
9;setembro de 2019;0,87495833
10;setembro de 2019;0,96016666
11;setembro de 2019;0,82604166
12;setembro de 2019;1,23854166
1;agosto de 2019;1,104375
2;agosto de 2019;0,97358333
3;agosto de 2019;0,95966666
4;agosto de 2019;0,94995833
5;agosto de 2019;1,01058333
6;agosto de 2019;0,85175
7;agosto de 2019;0,91295833
8;agosto de 2019;0,283625
9;agosto de 2019;0,97725
10;agosto de 2019;0,893875
11;agosto de 2019;0,81775
12;agosto de 2019;0
13;agosto de 2019;0
14;agosto de 2019;0
15;agosto de 2019;0,25266666
16;agosto de 2019;0,771875
17;agosto de 2019;0,71454166
18;agosto de 2019;0,885375
19;agosto de 2019;1,02758333
20;agosto de 2019;1,17158333
21;agosto de 2019;1,13170833
22;agosto de 2019;0,3315
23;agosto de 2019;1,060375
24;agosto de 2019;1
25;agosto de 2019;0,84995833
26;agosto de 2019;0,853375
27;agosto de 2019;0,512875
28;agosto de 2019;1,11983333
29;agosto de 2019;0,958625
30;agosto de 2019;0,99725
31;agosto de 2019;1,09191666
1;julho de 2019;0,46354166
2;julho de 2019;0,7605
3;julho de 2019;0,81495833
4;julho de 2019;1,02795833
5;julho de 2019;1,12645833
6;julho de 2019;1,10658333
7;julho de 2019;1,11141666
8;julho de 2019;0,43154166
9;julho de 2019;0,23366666
10;julho de 2019;0,45129166
11;julho de 2019;0,47195833
12;julho de 2019;0,59275
13;julho de 2019;1,02079166
14;julho de 2019;0,62266666
15;julho de 2019;1,033125
16;julho de 2019;0,87520833
17;julho de 2019;1,201
18;julho de 2019;0,96829166
19;julho de 2019;0,30608333
20;julho de 2019;0,73345833
21;julho de 2019;0,34841666
22;julho de 2019;0,83329166
23;julho de 2019;0,507375
24;julho de 2019;0,4615
25;julho de 2019;0,59729166
26;julho de 2019;0,63404166
27;julho de 2019;0,81804166
28;julho de 2019;0,80725
29;julho de 2019;1,11116666
30;julho de 2019;0,61508333
31;julho de 2019;0,77004166
1;junho de 2019;0,85816666
2;junho de 2019;0,94520833
3;junho de 2019;1,058375
4;junho de 2019;1,07833333
5;junho de 2019;1,169375
6;junho de 2019;0,42833333
7;junho de 2019;0,44175
8;junho de 2019;0,534
9;junho de 2019;0,79333333
10;junho de 2019;0,52345833
11;junho de 2019;0,62620833
