Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82689;01/05/2018;0000;;30.7;;8.9;1.5;24.98;85.25;2.4;
82689;01/05/2018;1200;10.7;;21.6;;;;;;
82689;02/05/2018;0000;;30.6;;6.9;2.2;25.12;90.25;0.866667;
82689;02/05/2018;1200;2.2;;21.8;;;;;;
82689;03/05/2018;0000;;30.2;;7.8;2.3;25.44;83;2.233333;
82689;03/05/2018;1200;0.5;;21;;;;;;
82689;04/05/2018;0000;;31.6;;10.7;2.5;25.38;79;2.066667;
82689;04/05/2018;1200;0;;20.6;;;;;;
82689;05/05/2018;0000;;29.7;;4.9;3.5;25.62;84.25;1.933333;
82689;05/05/2018;1200;0;;24.3;;;;;;
82689;06/05/2018;0000;;30.2;;5.5;1.9;25.44;82.5;1.966667;
82689;06/05/2018;1200;0;;21.8;;;;;;
82689;07/05/2018;0000;;29.2;;4.9;2.2;24.34;80;2.7;
82689;07/05/2018;1200;0;;19.9;;;;;;
82689;08/05/2018;0000;;31.2;;9.4;2.5;24.96;84.25;1.733333;
82689;08/05/2018;1200;0;;20.1;;;;;;
82689;09/05/2018;0000;;31.2;;10.3;3.2;26.52;70.75;3.133333;
82689;09/05/2018;1200;0;;21.8;;;;;;
82689;10/05/2018;0000;;31;;7.1;3.3;25.4;87.25;1.033333;
82689;10/05/2018;1200;0;;22.8;;;;;;
82689;11/05/2018;0000;;32.2;;9.9;2.1;26.04;83.75;1.8;
82689;11/05/2018;1200;0;;21.2;;;;;;
82689;12/05/2018;0000;;32;;10.4;2.7;26.5;81.5;0.866667;
82689;12/05/2018;1200;0;;22.6;;;;;;
82689;13/05/2018;0000;;32.1;;10.3;3;26.32;84.5;1.4;
82689;13/05/2018;1200;0;;23.5;;;;;;
82689;14/05/2018;0000;;31.8;;10.1;2.6;26.04;73.5;2.233333;
82689;14/05/2018;1200;0.2;;22.4;;;;;;
82689;15/05/2018;0000;;30.6;;5;3.4;24.76;84.75;1.7;
82689;15/05/2018;1200;0;;18.8;;;;;;
82689;16/05/2018;0000;;31.6;;9.6;2.2;25.02;82.5;1.7;
82689;16/05/2018;1200;0.9;;21.3;;;;;;
82689;17/05/2018;0000;;32;;8.8;2.7;25.56;89;1.366667;
82689;17/05/2018;1200;0;;23.4;;;;;;
82689;18/05/2018;0000;;31.3;;9.1;2.3;26.18;79.75;2.533333;
82689;18/05/2018;1200;0;;22;;;;;;
82689;19/05/2018;0000;;31.8;;10;3.3;25.3;80.75;1.8;
82689;19/05/2018;1200;0;;22.6;;;;;;
82689;20/05/2018;0000;;33;;10;2.7;25.92;83.25;1.3;
82689;20/05/2018;1200;0;;19.2;;;;;;
82689;21/05/2018;0000;;32.6;;8.5;2.5;25.76;83.75;2.166667;
82689;21/05/2018;1200;0;;21;;;;;;
82689;22/05/2018;0000;;32.6;;9.8;3.2;25.56;76.75;2.866667;
82689;22/05/2018;1200;0;;22;;;;;;
82689;23/05/2018;0000;;32;;9.9;4.7;24.58;77.75;1.6;
82689;23/05/2018;1200;0;;18.8;;;;;;
82689;24/05/2018;0000;;32.5;;10;3.7;24.58;72.75;1.733333;
82689;24/05/2018;1200;0;;16.9;;;;;;
82689;25/05/2018;0000;;32.2;;9.5;4;26.1;78.5;1.933333;
82689;25/05/2018;1200;0;;19.8;;;;;;
82689;26/05/2018;0000;;32.5;;8.2;5;27.18;76.5;2.4;
82689;26/05/2018;1200;0;;23.2;;;;;;
82689;27/05/2018;0000;;32.2;;9.6;5.2;26.48;68.5;2.966667;
82689;27/05/2018;1200;0;;24;;;;;;
82689;28/05/2018;0000;;31.4;;7;4.8;24.82;82;3.166667;
82689;28/05/2018;1200;0;;20.3;;;;;;
82689;29/05/2018;0000;;31.1;;10.1;3.6;24.98;76.75;2.866667;
82689;29/05/2018;1200;4.6;;20.4;;;;;;
