Day of Din Instante,Month of Din Instante,Val Geraenergiaconmwmed
1,October 2019,15.59354166
2,October 2019,14.88925
3,October 2019,17.45979166
4,October 2019,18.13558333
5,October 2019,18.8055
6,October 2019,19.23183333
7,October 2019,18.44820833
8,October 2019,18.20095833
9,October 2019,18.064375
10,October 2019,17.648875
11,October 2019,14.27904166
12,October 2019,18.685125
13,October 2019,19.691125
14,October 2019,15.10520833
15,October 2019,18.442
16,October 2019,18.54845833
17,October 2019,18.80429166
1,September 2019,16.085
2,September 2019,14.397
3,September 2019,10.065
4,September 2019,15.439
5,September 2019,14.473
6,September 2019,13.833
7,September 2019,16.714
8,September 2019,15.606
9,September 2019,14.697
10,September 2019,17.96
11,September 2019,17.785
12,September 2019,15.955
13,September 2019,17.136
14,September 2019,17.349
15,September 2019,18.386
16,September 2019,16.38
17,September 2019,15.557
18,September 2019,12.131
19,September 2019,18.691
20,September 2019,19.046
21,September 2019,18.197
22,September 2019,17.469
23,September 2019,14.546
24,September 2019,17.618
25,September 2019,19.141
26,September 2019,17.537
27,September 2019,17.634
28,September 2019,18.327
29,September 2019,18.229
30,September 2019,16.555
1,August 2019,11.904
2,August 2019,10.11154166
3,August 2019,17.22720833
4,August 2019,16.783375
5,August 2019,10.66304166
6,August 2019,9.87066666
7,August 2019,14.568375
8,August 2019,11.239875
9,August 2019,18.08070833
10,August 2019,17.584625
11,August 2019,17.4775
12,August 2019,15.90904166
13,August 2019,16.71808333
14,August 2019,13.116
15,August 2019,12.68304166
16,August 2019,10.22433333
17,August 2019,9.885875
18,August 2019,13.80375
19,August 2019,14.071125
20,August 2019,16.674625
21,August 2019,17.066625
22,August 2019,16.93258333
23,August 2019,15.32983333
24,August 2019,15.93745833
25,August 2019,12.46120833
26,August 2019,14.10716666
27,August 2019,8.407625
28,August 2019,18.16233333
29,August 2019,18.29820833
30,August 2019,18.001
31,August 2019,16.47633333
1,July 2019,8.96079166
2,July 2019,14.48475
3,July 2019,8.11129166
4,July 2019,12.86291666
5,July 2019,15.690125
6,July 2019,15.58745833
7,July 2019,14.96520833
8,July 2019,8.536625
9,July 2019,11.59133333
10,July 2019,10.414375
11,July 2019,8.79525
12,July 2019,14.494875
13,July 2019,11.04533333
14,July 2019,11.744875
15,July 2019,12.18433333
16,July 2019,16.209375
17,July 2019,15.90175
18,July 2019,15.81320833
19,July 2019,12.807
20,July 2019,7.41775
21,July 2019,5.56158333
22,July 2019,11.23958333
23,July 2019,7.15416666
24,July 2019,10.7705
25,July 2019,11.311125
26,July 2019,8.29883333
27,July 2019,9.607375
28,July 2019,12.112
29,July 2019,15.16145833
30,July 2019,14.0845
31,July 2019,14.71979166
1,June 2019,13.48816666
2,June 2019,13.49304166
3,June 2019,16.26545833
4,June 2019,15.28891666
5,June 2019,16.12316666
6,June 2019,14.574875
7,June 2019,16.35020833
8,June 2019,15.837
9,June 2019,12.74516666
10,June 2019,12.506875
11,June 2019,10.92108333
12,June 2019,11.956
13,June 2019,6.32358333
14,June 2019,7.16220833
15,June 2019,11.035625
16,June 2019,6.82454166
17,June 2019,5.33558333
18,June 2019,6.17825
19,June 2019,15.37795833
20,June 2019,14.14333333
21,June 2019,16.14745833
22,June 2019,14.198125
23,June 2019,14.98358333
24,June 2019,15.28545833
25,June 2019,13.02025
26,June 2019,14.865
27,June 2019,10.37941666
28,June 2019,14.88095833
29,June 2019,5.39833333
30,June 2019,6.62725
1,May 2019,6.60729166
2,May 2019,15.834625
3,May 2019,17.02504166
4,May 2019,16.467125
5,May 2019,15.16254166
6,May 2019,14.22454166
7,May 2019,14.04625
8,May 2019,10.14633333
9,May 2019,12.016375
10,May 2019,9.894625
11,May 2019,12.185875
12,May 2019,8.329625
13,May 2019,10.26291666
14,May 2019,14.82033333
15,May 2019,10.17541666
16,May 2019,8.92566666
17,May 2019,12.381125
18,May 2019,13.95670833
19,May 2019,15.89804166
20,May 2019,11.87041666
21,May 2019,8.60616666
22,May 2019,13.431375
23,May 2019,14.36033333
24,May 2019,13.14241666
